t-SNE 1,t-SNE 2,Cluster
20.276619,72.04556,4
26.250929,66.673256,5
-20.415909,-78.003334,6
-67.70006,25.3723,0
-21.00609,-77.03162,6
-67.53649,25.488861,0
-14.809785,4.392018,0
-8.260231,-2.1179516,0
-53.359356,-10.806987,0
-44.962296,-16.849388,0
-39.868538,-46.70293,0
-70.90027,6.561608,1
-76.345245,-39.608665,2
-73.77774,38.162125,3
18.422943,70.8726,4
27.522152,64.20385,5
-21.169353,-78.29174,6
-67.26093,24.894388,0
-14.762759,5.1794686,0
-9.717225,-0.8576069,0
-53.565544,-11.135501,0
-45.63486,-15.559646,0
-41.76573,-47.237762,0
-73.21379,8.523614,1
-74.45469,-38.073082,2
-72.02112,39.68415,3
19.47527,73.01587,4
25.688702,65.189415,5
-20.335331,-76.59215,6
-67.1636,25.848827,0
-16.305143,3.74039,0
-9.714748,-1.9873543,0
-52.47578,-10.100875,0
-71.81894,6.4124694,1
-72.640015,38.565243,3
18.406889,70.54306,4
-20.399794,-78.455734,6
-68.91874,22.98005,0
3.6229365,12.290717,0
-54.060738,-12.016094,0
-45.747036,-15.628713,0
-72.88975,7.32136,1
-73.879944,-37.462822,2
27.1965,65.47936,5
-21.687798,-79.164734,6
-67.89339,24.203024,0
-40.050007,-46.629086,0
-73.634384,-39.672466,2
-20.440027,-77.912766,6
-67.23047,24.9239,0
-8.12932,-2.1902993,0
-45.634277,-15.520232,0
-40.44176,-46.48363,0
-72.91258,6.5546985,1
-72.52653,38.514656,3
19.623074,70.17846,4
26.74679,67.4497,5
-8.63421,-1.7451646,0
-53.70438,-11.507642,0
-39.99095,-46.621273,0
-73.11939,-39.77023,2
-72.47751,38.51412,3
18.618782,71.30064,4
27.306543,65.334236,5
-68.95719,22.98452,0
-7.7868366,-0.43814301,0
-53.491177,-11.815217,0
-45.85035,-15.915627,0
-40.167618,-46.431904,0
18.685102,71.83828,4
26.77349,67.416115,5
-45.65217,-15.646955,0
-40.78982,-46.124363,0
-73.20064,6.535326,1
-73.76803,-39.27998,2
-73.961945,39.10601,3
26.75494,65.49194,5
-68.97225,22.967018,0
-11.210189,-1.4946581,0
-72.482185,6.060207,1
-15.665866,4.513178,0
-9.6626005,-1.9677631,0
-52.347042,-9.953733,0
-45.649464,-15.598174,0
-40.340508,-46.788494,0
-73.02835,6.1606765,1
-73.63326,-38.842995,2
18.242062,70.400566,4
26.167225,66.76777,5
-20.331902,-78.564926,6
-68.96752,22.971151,0
16.836174,13.914318,0
-8.650678,-0.6114739,0
-53.572155,-11.830655,0
-45.898754,-15.337304,0
-40.58745,-45.606808,0
-72.818565,5.152339,1
-73.911285,-39.807854,2
-72.96213,38.614326,3
17.644577,72.05621,4
24.859827,65.63667,5
-20.515156,-3.5363753,0
-10.57666,-2.7675283,0
-52.849205,-13.702596,0
-45.527637,-15.193654,0
-39.926758,-47.0311,0
-72.94068,6.8280244,1
-74.437126,-39.65385,2
-71.78672,37.131756,3
18.37814,71.5209,4
26.690615,65.33933,5
-19.686134,-78.46444,6
-69.01378,22.975952,0
3.620425,12.427182,0
-7.1738877,-2.3651118,0
-52.991714,-11.753573,0
-40.13997,-47.835358,0
-72.166084,7.413786,1
-73.87706,-37.433754,2
-71.90776,37.299652,3
18.968073,73.272575,4
26.401295,63.81209,5
-19.672865,-78.310104,6
-69.034134,22.963211,0
-45.597485,-16.252254,0
-72.98018,6.0781956,1
-73.410614,-38.730476,2
17.648445,71.31607,4
26.55392,64.996735,5
-69.00536,22.874283,0
-68.40714,22.987585,0
-18.146881,-20.042412,0
-8.188824,-1.601916,0
-52.11523,-11.019156,0
-46.548786,-14.699706,0
-41.483295,-46.42502,0
-72.16404,6.053714,1
-73.32656,-39.281765,2
-71.919556,38.921818,3
17.723618,70.48277,4
25.619276,64.68979,5
-20.136322,-78.2467,6
-71.40372,24.201216,0
-26.440859,3.7550087,0
-8.857013,-3.539808,0
-54.672222,-11.820971,0
-45.335953,-15.603797,0
-39.154236,-46.43409,0
-73.75857,6.7976484,1
-74.54479,-39.298954,2
-72.09143,38.651657,3
18.595484,70.91307,4
26.565563,65.33108,5
-20.29757,-78.08182,6
-68.93641,21.865927,0
-7.515489,6.702837,0
-7.1820664,-1.477952,0
-54.26541,-10.978842,0
-46.73933,-14.937269,0
-40.81858,-46.898705,0
-74.3901,-39.166756,2
-73.76783,38.39548,3
18.322693,71.70013,4
-20.802593,-78.15417,6
-69.09093,22.860182,0
-16.529245,5.420985,0
-8.753581,-1.8885872,0
-44.847736,-15.848296,0
-41.526867,-47.176807,0
-73.20442,8.461495,1
-74.41219,-40.632423,2
-71.85339,37.996902,3
18.236767,71.277954,4
24.858047,65.62958,5
-20.398247,-76.51788,6
-69.52067,24.041014,0
-53.879715,-11.281212,0
-45.65043,-15.657002,0
-40.320362,-46.912968,0
19.58549,70.16352,4
-20.301836,-78.14757,6
-53.372776,-11.886119,0
-74.737495,-38.895874,2
-72.35725,38.30102,3
18.542822,71.30472,4
-71.477036,24.139814,0
-70.82591,23.954449,0
-23.826466,-5.8730927,0
-45.874916,-16.034163,0
-73.22339,6.2648096,1
-74.73462,-38.87317,2
-71.93281,38.41172,3
27.755249,65.85477,5
-71.00095,25.106955,0
-70.84035,23.709993,0
-15.466105,4.5802245,0
-8.640302,-1.9586393,0
-53.748417,-11.4008875,0
-45.473404,-15.8068905,0
-40.043274,-46.115192,0
-72.65979,6.6223264,1
-74.316185,-38.79777,2
-71.89711,38.24513,3
27.137785,64.55125,5
-21.575127,-79.10301,6
-71.64919,24.62581,0
-72.81127,6.2472906,1
-74.37066,-39.29547,2
-72.24663,38.258644,3
-20.554003,-78.00382,6
-69.916595,23.441038,0
-15.36275,5.9002404,0
-8.306825,-3.622352,0
-53.76295,-11.402506,0
-44.98069,-16.846497,0
-40.38771,-46.892033,0
-72.86679,5.3687243,1
-74.237785,-40.84202,2
-72.57387,38.597256,3
18.52818,71.36626,4
26.705362,65.28811,5
-19.708546,-78.18829,6
-71.05382,25.202106,0
-8.074008,-1.618342,0
-53.020115,-11.314466,0
-44.320602,-14.3296585,0
-40.440357,-47.463818,0
-74.13194,-38.751926,2
-70.79923,38.770367,3
17.928242,72.52539,4
-20.255632,-79.637344,6
-71.04564,25.167782,0
-51.925224,-12.050225,0
-71.53058,24.632355,0
-7.640474,-1.941327,0
-53.17252,-11.2864485,0
-47.08358,-16.866896,0
-40.731846,-46.84753,0
-73.94738,5.334931,1
-74.3824,-38.803314,2
18.518139,69.57847,4
-19.623297,-78.985405,6
-69.842865,24.55267,0
-76.22147,-39.51802,2
18.933245,71.04346,4
27.306917,64.46544,5
-30.526115,-2.7346187,0
-53.824265,-11.143425,0
-74.154236,6.025582,1
-74.30712,-39.079437,2
-72.1061,39.09559,3
26.631481,65.88628,5
-20.998821,-77.975784,6
-70.85714,23.910368,0
-19.557686,-77.83673,6
-74.216255,-41.04577,2
18.529703,71.35907,4
-68.83383,24.543684,0
-14.886081,4.4209933,0
-73.03709,6.8253093,1
-71.65136,24.621756,0
-6.775928,-0.36019152,0
-6.714674,-0.94138414,0
-54.075596,-11.686178,0
-45.434875,-15.505536,0
-40.481667,-46.90358,0
-71.13496,6.496818,1
-75.79058,-40.31481,2
-72.85488,38.7525,3
18.591211,71.40748,4
27.013378,65.50001,5
-20.023693,-78.09644,6
-71.029945,25.215302,0
-9.457731,-1.9888668,0
-40.617043,-47.044655,0
-72.55331,6.2699485,1
-74.3744,-39.055046,2
-53.39395,-11.242719,0
-44.378246,-15.493271,0
-73.062035,38.863266,3
-71.041405,25.165123,0
-45.612225,-16.087822,0
-19.89242,-77.794815,6
-8.419005,-1.9225572,0
-74.9425,-38.464245,2
-72.44005,38.474583,3
18.577938,71.40078,4
-14.829021,5.152484,0
-9.587786,-0.9720734,0
-45.754272,-15.014186,0
-40.226383,-46.377884,0
-73.205315,8.479297,1
-74.44881,-38.47261,2
-72.18996,39.304516,3
19.329298,73.251366,4
25.870855,65.2169,5
-20.318186,-76.81232,6
-70.89547,23.913967,0
-7.2787466,-7.745809,0
0.76449794,10.784834,0
-53.402702,-11.979646,0
-47.200256,-16.771116,0
-40.1828,-46.231117,0
-72.783745,6.4760504,1
-74.01133,-39.759487,2
-73.73211,37.690403,3
18.078161,71.51102,4
26.740871,65.07428,5
-20.195314,-78.34713,6
-11.390547,4.177462,0
-8.042052,-2.6589956,0
-45.869892,-15.584195,0
-74.26827,-39.692474,2
-72.49689,39.959362,3
18.438795,71.3082,4
27.340946,65.07543,5
-19.968884,-78.48201,6
-71.31492,25.59418,0
-17.772848,21.774014,0
-8.025956,-2.7938464,0
-53.5909,-10.917725,0
-45.348003,-15.911881,0
-40.000973,-46.968773,0
-72.70423,6.200071,1
-74.91023,-39.416954,2
-72.24824,38.221962,3
18.974815,71.64433,4
-20.123085,-77.81176,6
-70.98912,25.19437,0
-13.70698,3.890061,0
-7.857229,-2.1259928,0
-45.336086,-15.3218155,0
-39.430614,-47.220234,0
-75.308556,-39.293232,2
-73.747505,39.018444,3
19.62804,70.02134,4
26.595966,63.790234,5
-20.273191,-77.981895,6
-70.895004,25.117947,0
-15.64331,4.5393033,0
-45.61849,-15.646105,0
-40.232365,-47.49706,0
-72.550964,6.8916655,1
-73.90489,-37.556194,2
19.188478,71.67566,4
26.380371,63.9818,5
-71.381355,25.693302,0
-9.409905,-2.8454366,0
-46.413357,-14.887717,0
-40.290176,-47.93652,0
17.759623,71.61654,4
25.984072,65.95388,5
-31.321917,-2.6253538,0
-8.559839,-1.1813215,0
-53.467472,-11.443981,0
-72.86714,6.5026183,1
-75.01178,-39.014168,2
-72.465836,38.613213,3
20.215885,71.94561,4
27.359514,66.419785,5
-18.940847,-76.685135,6
-22.353264,-1.5760434,0
-8.181282,-1.6534446,0
-53.36311,-10.883179,0
-40.920364,-47.437767,0
-72.3061,6.7186418,1
-75.19686,-39.55933,2
-73.134224,39.45872,3
-20.763643,-78.68287,6
-71.37405,25.68257,0
-39.05856,-1.1526034,0
-29.380962,26.175093,0
-36.237442,22.30203,0
14.413884,14.342464,0
-34.98757,1.8684148,0
-38.643013,39.50689,0
-40.438324,20.021732,0
-39.812355,33.659397,0
11.953871,-23.599487,0
-50.283665,22.235666,0
-46.40909,22.328058,0
-29.499784,22.432673,0
-47.682137,-6.429842,0
-37.716934,16.86689,0
-20.856789,6.744434,0
-23.953476,-0.0638672,0
-32.85659,21.167652,0
-21.13551,21.611473,0
-38.307873,22.56031,0
-32.5995,-1.8217195,0
-41.60356,-5.742089,0
-22.804602,12.589622,0
-33.34954,23.366264,0
-22.598013,13.080527,0
-13.839208,20.625547,0
-41.6796,36.881214,0
-30.663256,8.728021,0
-27.98887,10.009578,0
-31.430912,18.854597,0
-39.683693,28.626505,0
-14.163774,41.817295,0
-23.416887,22.582283,0
-37.34897,19.600683,0
-27.371061,-4.2937703,0
-47.335712,2.2906752,0
-37.2016,22.308397,0
-32.566948,-7.4167547,0
-40.05456,30.997684,0
-30.630888,15.198544,0
-34.184402,20.087461,0
-37.05648,20.192112,0
-43.52202,-5.696119,0
-27.48023,26.111008,0
-27.76055,21.096203,0
-33.497295,42.650692,0
-39.417355,3.6926196,0
-16.095964,26.524477,0
-37.23913,28.168905,0
-26.883352,12.684679,0
-17.793558,21.699524,0
-38.513386,-7.587823,0
-23.60196,-2.8183327,0
-35.83522,40.66418,0
-50.47281,22.06183,0
-44.671932,6.976729,0
-23.716621,13.6133375,0
-6.5517893,-3.7813797,0
-27.410585,-11.535864,0
-23.902035,-3.3883305,0
-26.674625,25.998703,0
-20.773256,17.461308,0
-17.384844,39.288013,0
-25.717274,-2.044693,0
-45.28156,14.502419,0
-26.799753,-3.5245173,0
-7.387469,20.117699,0
-47.07528,34.0426,0
-21.172737,7.464079,0
-31.302225,3.9537034,0
-16.597979,22.324772,0
6.8439503,-19.99481,0
-41.237938,23.230658,0
-40.06,30.82243,0
-29.3394,17.22428,0
-27.54511,14.728014,0
-48.18161,14.96572,0
-26.97684,16.154373,0
-43.766644,9.804592,0
-48.0647,27.614092,0
-42.85517,24.345291,0
-27.55563,14.737426,0
-21.450754,11.880323,0
-30.464544,14.681309,0
-35.869923,40.624626,0
-32.724186,-7.3487535,0
-23.340685,33.685867,0
-32.456604,0.26211667,0
-41.91205,-2.4427292,0
-41.731613,17.944073,0
-32.717796,31.003439,0
