t-SNE 1,t-SNE 2,Cluster
-61.37867,37.979916,0
28.775604,58.990276,0
-54.2472,22.789526,0
-10.414101,1.6358284,0
-66.96914,28.08184,1
-18.766335,-0.6048003,0
-12.296236,2.7797685,0
-41.32423,-13.141574,0
-49.202995,-9.968266,0
-39.090855,-44.648262,0
-67.136284,27.96459,1
-70.99846,-27.76951,0
19.296814,65.14608,0
28.483725,59.442352,0
11.799122,-71.59076,0
-54.256096,22.78069,0
-19.023293,-11.514823,0
-12.484804,3.6404316,0
-41.80033,-14.061933,0
-49.214756,-10.150513,0
-38.7307,-44.21366,0
-66.83873,28.616768,1
-70.42516,-27.449057,0
-60.43212,38.003674,0
20.364552,65.15926,0
28.496191,57.964455,0
-16.614977,-2.863966,0
-11.802656,1.5047505,0
-43.68417,-14.054187,0
-49.373928,-9.953453,0
-38.61296,-44.500767,0
-67.269394,27.82981,1
-70.39424,-26.87304,0
-60.49342,37.06945,0
20.222195,65.27549,0
28.791748,58.93445,0
12.256731,-71.50958,0
-54.28917,22.77241,0
-17.615124,0.15051667,0
-11.623841,3.7128973,0
-41.85731,-14.1036,0
-39.167683,-45.353863,0
-66.38338,27.344734,1
-70.87242,-26.643417,0
-60.44573,37.27812,0
20.295046,66.493965,0
29.418377,58.48517,0
12.332007,-71.18654,0
-54.25822,22.752758,0
-49.102425,-10.050278,0
-67.13752,28.014961,1
-70.96271,-27.80842,0
20.446398,65.473724,0
28.883038,58.83051,0
-54.25006,22.74301,0
-54.01528,22.908873,0
-19.95344,-12.810408,0
-11.476646,2.9051707,0
-41.832623,-13.162484,0
-49.63571,-10.453018,0
-39.175247,-44.639122,0
-66.73645,27.259464,1
-69.84191,-27.363224,0
-60.284443,37.874374,0
20.4543,64.54247,0
28.003082,58.653053,0
12.180516,-71.72743,0
-55.824257,22.772495,0
-21.726084,2.1650624,0
-10.798282,2.7609317,0
-42.158432,-14.447988,0
-49.24319,-9.879441,0
-39.620174,-44.987503,0
-67.16742,27.321884,1
-70.71175,-27.4842,0
-59.784283,38.134872,0
20.426722,65.83795,0
28.791643,58.934418,0
12.213142,-71.68606,0
-54.133514,22.209803,0
-13.487343,6.1440816,0
-11.979055,4.446234,0
-42.410316,-13.962555,0
-49.537884,-10.636591,0
-39.10641,-44.508102,0
-70.71121,-27.483965,0
-61.07487,38.45528,0
20.222204,65.27576,0
12.108528,-71.81573,0
-54.222317,22.706688,0
0.36585268,13.764913,0
-11.781865,2.9871109,0
-49.415325,-9.524837,0
-39.13729,-43.99139,0
-68.00671,27.75895,1
-70.80554,-27.982805,0
-60.036617,38.28439,0
19.97917,65.675934,0
28.480549,57.942055,0
12.828415,-72.07066,0
-55.031307,22.827911,0
-42.258514,-13.816546,0
-49.205715,-9.968707,0
-39.092896,-44.64992,0
19.828321,64.8117,0
12.213166,-71.68615,0
-42.27449,-13.596395,0
-70.5329,-27.489838,0
-60.235603,38.162292,0
20.104261,65.313484,0
-55.91237,22.698278,0
-55.564472,22.764372,0
-21.875887,-4.109554,0
-49.193375,-10.124823,0
-67.1136,27.975409,1
-70.532104,-27.48951,0
-60.057358,38.125416,0
28.894232,59.298683,0
-55.74876,22.927427,0
-55.55971,22.650692,0
-18.545126,-0.7458465,0
-11.690755,2.9654214,0
-42.270294,-13.684891,0
-49.10032,-9.910647,0
-39.56543,-44.66613,0
-66.9555,27.938938,1
-70.73528,-27.287367,0
-60.271168,38.35569,0
29.492777,58.770782,0
12.789673,-71.66921,0
-56.030415,22.904612,0
-67.053444,27.95903,1
-70.71155,-27.484364,0
-60.218967,38.156914,0
12.2244005,-71.78171,0
-54.713924,22.740833,0
-18.879438,-1.4432133,0
-10.578162,3.1004562,0
-42.27351,-13.677058,0
-48.480595,-9.5052,0
-39.09095,-44.64746,0
-66.912224,28.44829,1
-70.76967,-27.986843,0
-60.3406,38.126587,0
20.051388,65.30965,0
28.790981,58.933735,0
12.140689,-71.499084,0
-55.972828,22.989065,0
-11.444591,2.9238176,0
-42.112736,-13.548093,0
-48.758976,-8.877071,0
-39.18118,-44.83668,0
-70.606346,-27.740372,0
-59.611984,38.060123,0
20.388142,65.22722,0
11.747585,-71.546906,0
-55.84374,22.950771,0
-41.421192,-13.845713,0
-55.920444,22.899185,0
-11.422627,3.7421803,0
-42.224464,-13.625838,0
-48.40695,-10.45343,0
-39.211735,-44.5807,0
-67.758026,28.578947,1
-71.15511,-27.844538,0
19.266586,64.77637,0
11.6883135,-72.14284,0
-55.08458,23.038183,0
-71.144394,-27.037561,0
20.045038,65.07176,0
29.211218,59.05785,0
-19.6834,-0.6998661,0
-42.250626,-13.519133,0
-67.22014,28.108915,1
-70.71177,-27.48435,0
-60.15654,37.920918,0
28.60292,58.98243,0
12.221724,-71.93969,0
-55.560062,22.711845,0
12.272249,-71.39816,0
-70.81543,-28.356995,0
20.103703,65.31209,0
-54.98401,23.076954,0
-18.449123,-0.94767195,0
-67.169525,27.830381,1
-56.029823,22.905533,0
-13.378019,1.325728,0
-12.81995,1.3807237,0
-42.350914,-13.009594,0
-49.00459,-10.193421,0
-39.35824,-44.24138,0
-65.90124,28.074715,1
-71.85822,-27.121273,0
-60.420303,38.050453,0
20.104403,65.31336,0
28.350431,58.798378,0
12.278569,-71.35985,0
