ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ACOAD7f AP4AS CSND DHSKDH ECOAH26 HMR_0180_copy1 FALDM GART GLUR GLYK LEUTA MACACI MALS MAN6PI ME2 NFORGLUAH2 PAPSR PGI PGK PGM PGMT PHAPCT40 PPA2 PRAMPC_copy1 RHACOAET60 THRA2 TMPK ACOAD23f ALATA_L 3OXCOAT,30,0.13104363,3.17008783,0.659070799549738,1.04385685464975
ACOAD7f ACSPHAC141 ECOAH26 EDA GDBTALDH GDPMANNDH GLUR HACD8i HXAND ICDHyr IPDDI MACACI MAN6PI ME2 NFORGLUAH2 ORNCD PGI PGK PHADPCP50 SERAT_copy1 SERD_L AKGDb_copy2 AKGDH ALATA_L ALATRS AST 3OXCOAT,27,0.13367078,3.16837036,0.862165538347274,0.978021098030027
ACS ACS2 ACSPHACP90 ASPSALy CSND CYSTS CYTK1 DHSKDH FDH GALUi GLUDy GLUR GLXCL GLYO1 GPDDA4 HSK ILETA MACACI MAN6PI NDPK5 NFORGLUAH2 PGI PGK PPCK RECOAH3 AACOAT ALATA_L 3OXCOAT,28,0.13588835,3.16684008,0.681727020749019,1.03016691908328
ACOAD7f ACSPHAC120 ACSPHACP50 CYSTS DHORDfum GLUR GLYALDDr GLYO1 HACD23i HACD26i HACD32i HSK MACACI MAN6PI METGL NFORGLUAH2 NTPP3 PAPSR PGI PGK PGL PGMT PHADPCP50 PHAPC40 PPK QUIDH RHACOAE141 ADNK1 ALATA_L 3OXCOAT,30,0.13898402,3.1630472,0.827674649215068,0.980896559074381
ACS ACSPHAC90 DAAD FDH GLXCL GUAPRT HACD23i HACD32i HIBDkt ICDHyr ILEDHr_1 MACACI MAN6PI METGL NFORGLUAH2 ORNCD PCADYOX PGI PGK PHADPCP50 PHAP2C142 PPCK PPK RHACOAE121 UREA AKGDb_copy2 ACOAD22f AST 3OADPCOAT 3OXCOAT,30,0.14361551,3.15737259,0.918217050512163,0.948146319175253
ACSPHAC120 ACSPHACP60 ANHMK CYSTS DLYSPYRAT ECOAH28 GART HSK HXAND ICDHyr ACACT12 MACACI MAN6PI MCITD ME2 METGL NFORGLUAH2 PDHcr PGI PGK PPCK PPK QUIDHy RECOAH17 RNDR4 PRAMPC_copy2 SERAT_copy2 BPNT PHET 3OXCOAT,30,0.1462716,3.1541183,0.913224508380301,0.945933201941056
ACS ACSPHAC142 ACSPHAC50 ACSPHAC60 ASPSALy FDH GDPDPK GLUR GLUTCOADHc GLYALDDr ACACT12 MACACI MAN6PI NFORGLUAH2 ORNCD PCADYOX PGI PGK PHAP2C141d5 PHAPC70 PPCK PRPPS RHACOAE90 SERD_L SUCOAS AKGDb_copy2 AST HBCE 3OADPCOAT 3OXCOAT,30,0.14714738,3.15304527,0.584400211543012,1.0479679756719
ACSPHAC120 CSND CYTK1 DHMPTR DHORDfum ECOAH26 ECOAH27 FACOAL50i G6PDH2r GLYO1 HACD3i MACACI MAN6PI NFORGLUAH2 NTPP2 PDHcr PGI PGK PHADPC121 PHADPCP60 PPCK PRMICI_copy1 THRD_L AKGDb_copy2 AKGDb_copy1 BPNT ECOAH17 3OXCOAT,28,0.15326189,3.14555365,0.874778981258811,0.947704214047904
ACOAD7f ACSPHAC80 ASPCT DHMPTR ECOAH26 FDH HACD1i HACD32i MACACI MAN6PI ME2 NADHPO NFORGLUAH2 PGI PGK RNDR4 ACOAD23f ALATA_L 3OXCOAT,19,0.15587649,3.13915269,0.545066032728861,1.05101311279401
ACOAD7f APG3PAT160 CYTK1 DHORDfum DHSKDH ECOAH26 ECOAH36 ENO FALDM GLXCL HACD26i MACACI MAN6PI NFORGLUAH2 NMNDA NTD7 NTPP5 ORNCD PDHcr PGI PGK PHAP2C100 PHAPCT40 PPCK SERD_L UREA ARGDI HBCHLR 3OXCOAT 4HBHYOX,30,0.14935164,3.1113803,0.923168168759312,0.941565927149283
